1,Done,2025-02-16 17:15:30,DONE,true
2,Blocked,2025-02-16 17:15:35,BLOCKED,false
3,Todo,2025-02-16 20:28:40,TODO,false
4,Done,2025-02-16 20:47:43,DONE,false
5,Done,2025-02-16 20:48:35,DONE,false
6,Done,2025-02-16 20:49:08,DONE,true
7,Done,2025-02-16 20:50:03,DONE,true
8,Done,2025-02-16 20:50:13,DONE,false
9,Done,2025-02-16 20:50:41,DONE,false
10,Done,2025-02-16 20:52:28,BLOCKED,false
11,Done,2025-02-16 20:54:41,DONE,false
12,test,2025-02-23 09:25:47,TODO,false
13,test,2025-02-23 09:26:43,TODO,false
14,test,2025-02-23 09:27:21,TODO,false
15,test,2025-02-23 09:27:28,TODO,false
16,test,2025-02-23 09:29:40,TODO,false
17,test,2025-02-23 10:02:14,TODO,false
